Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:    130, rd_minus:    304, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 154 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    782, rd_minus:    992, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 155 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7552, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 156 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2688, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 157 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    836, rd_minus:    818, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 158 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2724, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 159 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   9628, rd_minus:   9512, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 160 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8588, rd_minus:   7868, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 161 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    434, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 162 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6136, rd_minus:   6350, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 163 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6736, rd_minus:   7856, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 164 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11768, rd_minus:  11768, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 165 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  11428, rd_minus:  11160, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 166 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   7392, rd_minus:   7710, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 167 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  14528, rd_minus:  13104, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 168 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4504, rd_minus:   5248, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 169 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2744, rd_minus:   1852, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 170 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4328, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 171 / 8216, payload_bits 8192, end_bits 24
